step,train_loss,val_loss,lr,sec_per_step,mps_driver_gb
137,4.0519,,5.00e-05,16.2,16.45
138,4.1077,,5.00e-05,16.18,16.45
139,4.0953,,5.00e-05,16.17,16.45
140,3.708,,5.00e-05,16.06,16.45
141,3.5362,,5.00e-05,16.12,16.45
142,4.0739,,5.00e-05,16.21,16.45
143,4.1567,,5.00e-05,16.3,16.45
144,4.4599,,5.00e-05,16.3,16.45
145,4.0218,,5.00e-05,16.41,16.45
146,3.8073,,5.00e-05,16.35,16.45
147,4.3729,,5.00e-05,16.24,16.45
148,3.2292,,5.00e-05,16.15,16.45
149,3.7244,,5.00e-05,16.16,16.45
150,4.5239,,5.00e-05,16.24,16.45
151,3.2898,,5.00e-05,16.14,16.45
152,4.6389,,5.00e-05,16.27,16.45
153,4.131,,5.00e-05,16.27,16.45
154,3.1695,,5.00e-05,16.29,16.45
155,4.6604,,5.00e-05,16.33,16.45
156,3.9792,,5.00e-05,16.4,16.45
157,4.5114,,5.00e-05,16.35,16.45
158,3.6253,,5.00e-05,16.28,16.45
159,4.2887,,4.99e-05,16.28,16.45
160,4.6251,,4.99e-05,16.33,16.45
161,4.3221,,4.99e-05,16.24,16.45
162,4.2573,,4.99e-05,16.31,16.45
163,3.9784,,4.99e-05,16.31,16.45
164,3.5578,,4.99e-05,16.2,16.45
165,4.366,,4.99e-05,16.27,16.45
166,4.4977,,4.99e-05,16.07,16.45
167,4.1845,,4.99e-05,15.99,16.45
168,3.7782,,4.99e-05,16.2,16.45
169,4.5479,,4.99e-05,16.13,16.45
170,4.6157,,4.99e-05,16.06,16.45
171,4.0967,,4.99e-05,16.06,16.45
172,4.5981,,4.99e-05,16.32,16.45
173,4.2471,,4.99e-05,16.3,16.45
174,3.7037,,4.99e-05,16.26,16.45
175,4.2293,,4.99e-05,16.32,16.45
176,3.5442,,4.99e-05,16.28,16.45
177,4.3049,,4.99e-05,16.2,16.45
178,4.4831,,4.99e-05,16.17,16.45
179,3.8511,,4.99e-05,16.19,16.45
180,3.3949,,4.99e-05,16.08,16.45
181,4.5752,,4.99e-05,16.14,16.45
182,3.7966,,4.99e-05,16.23,16.45
183,3.9572,,4.99e-05,16.29,16.45
184,3.1101,,4.99e-05,16.01,16.45
185,4.0487,,4.99e-05,16.38,16.45
186,4.4009,,4.99e-05,16.37,16.45
187,4.4253,,4.99e-05,16.32,16.45
188,3.3142,,4.99e-05,16.39,16.45
189,4.0859,,4.99e-05,16.3,16.45
190,4.2071,,4.99e-05,16.32,16.45
191,4.6155,,4.99e-05,16.35,16.45
192,4.3611,,4.99e-05,16.37,16.45
193,4.0388,,4.99e-05,16.31,16.45
194,4.0611,,4.99e-05,16.25,16.45
195,3.8916,,4.99e-05,16.32,16.45
196,4.2083,,4.99e-05,16.18,16.45
197,2.8053,,4.99e-05,16.26,16.45
198,3.564,,4.99e-05,16.26,16.45
199,4.0472,,4.99e-05,16.19,16.45
200,3.9782,,4.99e-05,16.22,16.45
201,4.3828,,4.99e-05,16.18,16.45
202,3.8264,,4.98e-05,16.29,16.45
203,4.5399,,4.98e-05,16.29,16.45
204,4.1448,,4.98e-05,16.2,16.45
205,3.471,,4.98e-05,16.36,16.45
206,4.0573,,4.98e-05,16.36,16.45
207,4.6872,,4.98e-05,16.19,16.45
208,4.2417,,4.98e-05,16.4,16.45
209,3.8369,,4.98e-05,16.32,16.45
210,3.9079,,4.98e-05,16.24,16.45
211,4.5994,,4.98e-05,16.27,16.45
212,3.6825,,4.98e-05,16.25,16.45
213,3.9249,,4.98e-05,16.23,16.45
214,4.1525,,4.98e-05,16.21,16.45
215,2.8136,,4.98e-05,16.22,16.45
216,3.8208,,4.98e-05,16.15,16.45
217,3.6541,,4.98e-05,16.23,16.45
218,3.3149,,4.98e-05,16.2,16.45
219,4.2834,,4.98e-05,16.12,16.45
220,4.1038,,4.98e-05,16.19,16.45
221,3.8771,,4.98e-05,16.05,16.45
222,4.4847,,4.98e-05,16.04,16.45
223,3.8318,,4.98e-05,16.3,16.45
224,4.1747,,4.98e-05,16.22,16.46
225,4.0157,,4.98e-05,16.16,16.47
226,3.9169,,4.98e-05,16.26,16.47
227,4.3802,,4.98e-05,16.39,16.47
228,4.3337,,4.98e-05,16.39,16.47
229,4.3964,,4.98e-05,16.26,16.47
230,3.2624,,4.98e-05,16.39,16.47
231,3.9955,,4.97e-05,16.33,16.47
232,3.8612,,4.97e-05,16.45,16.47
233,4.3312,,4.97e-05,16.31,16.47
234,4.6166,,4.97e-05,16.35,16.47
235,4.5001,,4.97e-05,16.44,16.47
236,4.5819,,4.97e-05,16.19,16.47
237,4.0221,,4.97e-05,16.49,16.47
238,4.3442,,4.97e-05,16.43,16.47
239,4.6325,,4.97e-05,16.35,16.47
240,4.2661,,4.97e-05,16.38,16.47
241,3.8097,,4.97e-05,16.36,16.47
242,3.3195,,4.97e-05,16.31,16.47
243,4.0309,,4.97e-05,16.27,16.47
244,4.4703,,4.97e-05,16.29,16.47
245,4.3988,,4.97e-05,16.23,16.47
246,4.3846,,4.97e-05,16.29,16.47
247,4.721,,4.97e-05,16.21,16.47
248,3.1139,,4.97e-05,16.14,16.47
249,3.6553,,4.97e-05,16.03,16.47
250,3.7683,,4.97e-05,16.11,16.47
250,,4.3657,4.97e-05,,14.43
251,4.2184,,4.97e-05,15.86,17.48
252,4.0357,,4.97e-05,15.78,17.48
253,3.7268,,4.97e-05,15.69,17.48
254,4.0471,,4.97e-05,15.65,17.48
255,3.447,,4.96e-05,15.74,17.48
256,3.698,,4.96e-05,15.85,17.48
257,4.5674,,4.96e-05,15.9,17.48
258,3.7986,,4.96e-05,16.05,17.48
259,3.9024,,4.96e-05,16.09,17.48
260,4.2829,,4.96e-05,16.17,17.48
261,4.1245,,4.96e-05,16.25,17.48
262,3.5377,,4.96e-05,16.2,17.48
263,4.6827,,4.96e-05,16.2,17.48
264,4.0454,,4.96e-05,16.23,17.48
265,4.6186,,4.96e-05,16.28,17.48
266,4.2075,,4.96e-05,16.31,17.48
267,3.9986,,4.96e-05,16.24,17.48
268,4.2012,,4.96e-05,16.33,17.48
269,4.1048,,4.96e-05,16.23,17.48
270,4.1844,,4.96e-05,16.27,17.48
271,4.1465,,4.96e-05,16.4,17.48
272,3.7724,,4.96e-05,16.15,17.48
273,4.4085,,4.96e-05,16.13,17.48
274,4.3525,,4.96e-05,16.12,17.48
275,3.8661,,4.96e-05,16.02,17.48
276,4.4761,,4.95e-05,16.32,17.48
277,4.4407,,4.95e-05,16.31,17.48
278,4.099,,4.95e-05,16.36,17.48
279,3.7951,,4.95e-05,16.33,17.48
280,4.4123,,4.95e-05,16.3,17.48
281,3.115,,4.95e-05,16.36,17.48
282,4.2858,,4.95e-05,16.34,17.48
283,4.0685,,4.95e-05,16.27,17.48
284,3.5406,,4.95e-05,16.15,17.48
285,4.3178,,4.95e-05,16.17,17.48
286,4.263,,4.95e-05,16.03,17.48
287,4.0802,,4.95e-05,16.02,17.48
288,4.1036,,4.95e-05,16.1,17.48
289,4.061,,4.95e-05,16.16,17.48
290,3.8215,,4.95e-05,16.12,17.48
291,4.0927,,4.95e-05,16.11,17.48
292,3.8997,,4.95e-05,16.18,17.48
293,4.7463,,4.95e-05,16.26,17.48
294,4.448,,4.94e-05,16.22,17.48
295,3.8085,,4.94e-05,16.16,17.48
296,4.059,,4.94e-05,16.0,17.48
297,3.7545,,4.94e-05,15.95,17.48
298,3.6752,,4.94e-05,16.02,17.48
299,3.7453,,4.94e-05,15.87,17.48
300,4.0589,,4.94e-05,16.03,17.48
301,4.5259,,4.94e-05,16.04,17.48
302,4.2708,,4.94e-05,15.86,17.48
303,4.4111,,4.94e-05,16.04,17.48
304,3.7433,,4.94e-05,16.2,17.48
305,3.9932,,4.94e-05,16.25,17.48
306,3.9619,,4.94e-05,16.32,17.48
307,4.3876,,4.94e-05,16.87,17.48
308,3.6293,,4.94e-05,16.59,17.48
309,3.4168,,4.94e-05,16.49,17.48
310,3.5798,,4.94e-05,16.6,17.48
311,3.6959,,4.93e-05,16.6,17.48
312,4.3175,,4.93e-05,16.48,17.48
313,3.8772,,4.93e-05,16.69,17.48
314,4.3782,,4.93e-05,16.91,17.48
