step,train_loss,val_loss,lr,sec_per_step
167,4.6221,,9.94e-05,1.11
168,4.7076,,9.94e-05,1.15
169,4.4028,,9.94e-05,1.1
170,4.7103,,9.94e-05,1.09
171,4.581,,9.94e-05,1.09
172,4.5463,,9.93e-05,1.09
173,4.671,,9.93e-05,1.15
174,4.3577,,9.93e-05,1.1
175,4.7545,,9.93e-05,1.11
176,4.5468,,9.93e-05,1.09
177,4.4576,,9.93e-05,1.11
178,4.6929,,9.92e-05,1.17
179,4.4991,,9.92e-05,1.09
180,4.6917,,9.92e-05,1.12
181,4.2788,,9.92e-05,1.1
182,4.6393,,9.92e-05,1.09
183,4.6991,,9.91e-05,1.18
184,4.4552,,9.91e-05,1.12
185,4.4067,,9.91e-05,1.11
186,4.7353,,9.91e-05,1.14
187,4.4298,,9.91e-05,1.1
188,4.6393,,9.90e-05,1.17
189,4.7711,,9.90e-05,1.1
190,4.5465,,9.90e-05,1.13
191,4.8559,,9.90e-05,1.12
192,4.4556,,9.89e-05,1.1
193,4.6334,,9.89e-05,1.21
194,4.4227,,9.89e-05,1.15
195,4.5918,,9.89e-05,1.19
196,4.8395,,9.88e-05,1.16
197,4.38,,9.88e-05,1.13
198,4.6898,,9.88e-05,1.29
199,4.7666,,9.88e-05,1.22
200,4.8658,,9.87e-05,1.17
201,4.6481,,9.87e-05,1.2
202,4.7112,,9.87e-05,1.15
203,4.8755,,9.87e-05,1.19
204,4.4769,,9.86e-05,1.2
205,4.2833,,9.86e-05,1.28
206,4.9535,,9.86e-05,1.18
207,4.4554,,9.86e-05,1.14
208,4.8327,,9.85e-05,1.21
209,4.9665,,9.85e-05,1.29
210,4.3781,,9.85e-05,1.26
211,4.3464,,9.85e-05,1.33
212,4.7649,,9.84e-05,1.17
213,4.6317,,9.84e-05,1.25
214,4.4114,,9.84e-05,1.17
215,4.4585,,9.83e-05,1.21
216,4.8847,,9.83e-05,1.23
217,4.2895,,9.83e-05,1.23
218,4.7316,,9.83e-05,1.47
219,4.3946,,9.82e-05,1.26
220,4.4624,,9.82e-05,1.25
221,4.4881,,9.82e-05,1.23
222,4.6787,,9.81e-05,1.19
223,4.4439,,9.81e-05,1.21
224,4.7255,,9.81e-05,1.24
225,4.6524,,9.80e-05,1.19
226,4.7225,,9.80e-05,1.17
227,4.397,,9.80e-05,1.24
228,4.6305,,9.80e-05,1.32
229,4.7062,,9.79e-05,1.16
230,4.677,,9.79e-05,1.16
231,4.6241,,9.79e-05,1.24
232,4.3875,,9.78e-05,1.16
233,4.4615,,9.78e-05,1.35
234,4.5366,,9.78e-05,1.22
235,4.7145,,9.77e-05,1.23
236,4.6246,,9.77e-05,1.34
237,4.8621,,9.77e-05,1.22
238,4.5164,,9.76e-05,1.35
239,4.8793,,9.76e-05,1.2
240,4.3844,,9.76e-05,1.2
241,4.606,,9.75e-05,1.28
242,4.2723,,9.75e-05,1.26
243,4.681,,9.74e-05,1.25
244,4.7893,,9.74e-05,1.11
245,4.7105,,9.74e-05,1.16
246,4.5223,,9.73e-05,1.15
