step,train_loss,val_loss,lr,sec_per_step
167,7.0592,,1.99e-05,9.7
168,6.976,,1.99e-05,9.63
169,6.8196,,1.99e-05,9.68
170,6.8541,,1.99e-05,9.63
171,6.8938,,1.99e-05,9.65
172,6.9075,,1.99e-05,9.66
173,6.8992,,1.99e-05,9.63
174,6.7952,,1.99e-05,9.59
175,6.9979,,1.99e-05,9.57
176,6.9305,,1.99e-05,9.67
177,7.0823,,1.99e-05,9.76
178,6.9303,,1.98e-05,9.7
179,6.743,,1.98e-05,9.7
180,6.8892,,1.98e-05,9.64
181,6.835,,1.98e-05,9.62
182,6.8396,,1.98e-05,9.63
183,6.9466,,1.98e-05,9.63
184,6.8292,,1.98e-05,9.67
185,6.686,,1.98e-05,9.65
186,7.0632,,1.98e-05,9.67
187,6.8791,,1.98e-05,9.62
188,6.8736,,1.98e-05,9.63
189,6.9429,,1.98e-05,9.62
190,7.0704,,1.98e-05,9.67
191,6.9803,,1.98e-05,9.65
192,6.9512,,1.98e-05,9.64
193,7.067,,1.98e-05,9.65
194,6.7942,,1.98e-05,9.65
195,7.0628,,1.98e-05,9.64
196,7.0647,,1.98e-05,9.65
197,6.6639,,1.98e-05,9.64
198,6.9975,,1.98e-05,9.63
199,6.9606,,1.98e-05,9.6
200,7.0358,,1.97e-05,9.73
201,6.8622,,1.97e-05,9.69
202,6.9533,,1.97e-05,9.64
203,7.2175,,1.97e-05,9.64
204,6.856,,1.97e-05,9.65
205,6.8137,,1.97e-05,9.58
206,7.0143,,1.97e-05,9.53
207,6.8473,,1.97e-05,9.65
208,6.9283,,1.97e-05,9.72
209,6.946,,1.97e-05,9.67
210,6.866,,1.97e-05,9.67
211,6.7487,,1.97e-05,9.67
212,7.0806,,1.97e-05,9.63
213,7.0718,,1.97e-05,9.67
214,6.9075,,1.97e-05,9.66
215,6.827,,1.97e-05,9.66
216,6.9517,,1.97e-05,9.61
217,6.7359,,1.97e-05,9.63
218,6.9501,,1.97e-05,9.63
219,6.7203,,1.96e-05,9.65
220,6.8946,,1.96e-05,9.64
221,6.8831,,1.96e-05,9.63
