step,train_loss,val_loss,lr,sec_per_step
167,2.1354,,9.94e-05,1.07
168,2.839,,9.94e-05,1.1
169,2.2866,,9.94e-05,1.07
170,2.3427,,9.94e-05,1.07
171,2.0684,,9.94e-05,1.1
172,2.3395,,9.93e-05,1.21
173,2.7819,,9.93e-05,1.16
174,2.1277,,9.93e-05,1.13
175,2.4019,,9.93e-05,1.24
176,1.7671,,9.93e-05,1.1
177,2.4564,,9.93e-05,1.27
178,2.1697,,9.92e-05,1.41
179,1.672,,9.92e-05,1.2
180,2.2754,,9.92e-05,1.07
181,2.507,,9.92e-05,1.15
182,2.4803,,9.92e-05,1.06
183,2.3202,,9.91e-05,1.1
184,2.1926,,9.91e-05,1.08
185,2.541,,9.91e-05,1.09
186,2.336,,9.91e-05,1.12
187,2.49,,9.91e-05,1.12
188,2.2795,,9.90e-05,1.14
189,2.4859,,9.90e-05,1.11
190,2.4255,,9.90e-05,1.12
191,2.5442,,9.90e-05,1.12
192,1.8873,,9.89e-05,1.12
193,2.7041,,9.89e-05,1.14
194,2.1599,,9.89e-05,1.11
195,2.4577,,9.89e-05,1.14
196,2.9106,,9.88e-05,1.13
197,2.0317,,9.88e-05,1.13
198,2.5798,,9.88e-05,1.16
199,2.0642,,9.88e-05,1.11
200,2.6503,,9.87e-05,1.21
201,2.7431,,9.87e-05,1.18
202,2.4597,,9.87e-05,1.21
203,2.5381,,9.87e-05,1.1
204,2.001,,9.86e-05,1.13
205,2.2115,,9.86e-05,1.12
206,2.6235,,9.86e-05,1.08
207,2.5282,,9.86e-05,1.07
208,2.1185,,9.85e-05,1.11
209,2.5138,,9.85e-05,1.08
210,2.0954,,9.85e-05,1.09
211,1.8145,,9.85e-05,1.08
212,2.5894,,9.84e-05,1.07
213,1.9456,,9.84e-05,1.12
214,1.979,,9.84e-05,1.1
215,2.3505,,9.83e-05,1.1
216,2.792,,9.83e-05,1.17
217,2.15,,9.83e-05,1.15
218,2.7532,,9.83e-05,1.1
219,2.5968,,9.82e-05,1.07
220,2.5234,,9.82e-05,1.2
221,2.3776,,9.82e-05,1.18
222,2.3754,,9.81e-05,1.1
223,1.7212,,9.81e-05,1.15
224,2.0279,,9.81e-05,1.15
225,2.3886,,9.80e-05,1.13
226,2.6626,,9.80e-05,1.1
227,2.6124,,9.80e-05,1.1
228,2.8655,,9.80e-05,1.14
229,2.1486,,9.79e-05,1.1
230,2.5044,,9.79e-05,1.12
231,2.4437,,9.79e-05,1.15
232,3.0814,,9.78e-05,1.12
233,2.0071,,9.78e-05,1.14
234,2.6258,,9.78e-05,1.08
235,3.1872,,9.77e-05,1.08
236,1.8512,,9.77e-05,1.09
237,3.1123,,9.77e-05,1.11
238,2.1986,,9.76e-05,1.11
239,2.5816,,9.76e-05,1.1
240,2.1928,,9.76e-05,1.24
241,2.4374,,9.75e-05,1.1
242,1.6958,,9.75e-05,1.14
243,2.1621,,9.74e-05,1.14
244,3.1896,,9.74e-05,1.2
245,2.1135,,9.74e-05,1.09
246,2.9771,,9.73e-05,1.1
247,2.1619,,9.73e-05,1.13
248,1.6232,,9.73e-05,1.12
249,2.7413,,9.72e-05,1.1
250,2.701,,9.72e-05,1.11
250,,2.2986,9.72e-05,
251,2.5025,,9.72e-05,1.02
252,2.7864,,9.71e-05,0.98
253,2.5827,,9.71e-05,0.97
254,2.0214,,9.70e-05,1.0
255,2.9755,,9.70e-05,1.08
256,2.3607,,9.70e-05,1.11
257,2.1481,,9.69e-05,1.1
258,2.7582,,9.69e-05,1.09
259,2.8114,,9.69e-05,1.08
260,2.4743,,9.68e-05,1.09
261,2.8209,,9.68e-05,1.08
262,2.763,,9.67e-05,1.09
263,2.1998,,9.67e-05,1.08
264,2.2901,,9.67e-05,1.1
265,2.4914,,9.66e-05,1.09
266,2.1968,,9.66e-05,1.08
267,2.463,,9.65e-05,1.13
268,2.4892,,9.65e-05,1.11
269,2.2953,,9.64e-05,1.13
270,2.6018,,9.64e-05,1.11
271,2.1977,,9.64e-05,1.1
272,1.9319,,9.63e-05,1.12
273,2.41,,9.63e-05,1.12
274,1.9009,,9.62e-05,1.13
275,1.8208,,9.62e-05,1.15
276,1.72,,9.62e-05,1.13
277,2.5842,,9.61e-05,1.15
278,2.704,,9.61e-05,1.11
279,2.5728,,9.60e-05,1.12
280,1.9605,,9.60e-05,1.13
281,2.4322,,9.59e-05,1.11
282,2.328,,9.59e-05,1.14
283,1.6488,,9.58e-05,1.12
284,2.0325,,9.58e-05,1.12
285,1.9242,,9.58e-05,1.13
286,2.4476,,9.57e-05,1.12
287,2.7672,,9.57e-05,1.13
288,2.1745,,9.56e-05,1.09
289,2.5939,,9.56e-05,1.12
290,2.1106,,9.55e-05,1.1
291,2.4087,,9.55e-05,1.12
292,2.5022,,9.54e-05,1.11
293,2.5307,,9.54e-05,1.1
294,2.3406,,9.53e-05,1.17
295,1.8048,,9.53e-05,1.12
296,2.0328,,9.52e-05,1.1
297,2.0463,,9.52e-05,1.12
298,2.6153,,9.51e-05,1.13
299,1.8447,,9.51e-05,1.12
300,2.4154,,9.50e-05,1.12
301,2.362,,9.50e-05,1.11
302,2.1805,,9.50e-05,1.15
303,2.1658,,9.49e-05,1.13
304,2.7383,,9.49e-05,1.1
305,2.356,,9.48e-05,1.1
306,2.2467,,9.48e-05,1.1
307,2.4343,,9.47e-05,1.13
308,2.5337,,9.47e-05,1.09
309,1.8582,,9.46e-05,1.1
310,2.449,,9.46e-05,1.09
311,2.005,,9.45e-05,1.09
312,1.8339,,9.44e-05,1.11
313,2.7428,,9.44e-05,1.09
314,2.8528,,9.43e-05,1.1
315,2.7906,,9.43e-05,1.11
316,2.2688,,9.42e-05,1.09
317,2.6213,,9.42e-05,1.1
318,2.3476,,9.41e-05,1.11
319,1.841,,9.41e-05,1.17
320,1.9744,,9.40e-05,1.13
321,2.3071,,9.40e-05,1.11
322,2.4364,,9.39e-05,1.1
323,1.7638,,9.39e-05,1.1
324,3.193,,9.38e-05,1.1
325,2.2321,,9.38e-05,1.1
326,2.6497,,9.37e-05,1.09
327,2.7276,,9.37e-05,1.11
328,1.8757,,9.36e-05,1.1
329,2.1847,,9.35e-05,1.1
330,2.6493,,9.35e-05,1.09
331,2.5756,,9.34e-05,1.09
332,2.3565,,9.34e-05,1.12
333,2.286,,9.33e-05,1.09
334,1.8831,,9.33e-05,1.1
335,1.9681,,9.32e-05,1.09
336,3.1112,,9.32e-05,1.08
337,2.0856,,9.31e-05,1.09
338,2.8992,,9.30e-05,1.07
339,2.4409,,9.30e-05,1.09
340,2.509,,9.29e-05,1.09
341,2.8149,,9.29e-05,1.12
342,2.4504,,9.28e-05,1.22
343,2.4082,,9.27e-05,1.15
344,3.5055,,9.27e-05,1.14
345,2.3653,,9.26e-05,1.1
346,2.1503,,9.26e-05,1.15
347,2.4099,,9.25e-05,1.2
348,2.1911,,9.25e-05,1.21
349,2.2666,,9.24e-05,1.25
350,2.1184,,9.23e-05,1.18
351,2.3714,,9.23e-05,1.09
352,2.0373,,9.22e-05,1.1
353,2.2957,,9.22e-05,1.2
354,2.5278,,9.21e-05,1.28
355,2.0849,,9.20e-05,1.1
356,2.479,,9.20e-05,1.08
357,2.9379,,9.19e-05,1.1
358,2.439,,9.19e-05,1.1
359,1.634,,9.18e-05,1.1
360,2.2728,,9.17e-05,1.13
361,2.2389,,9.17e-05,1.17
362,2.3558,,9.16e-05,1.24
363,2.5318,,9.15e-05,1.38
364,2.5626,,9.15e-05,1.25
365,2.6368,,9.14e-05,1.15
366,2.3631,,9.14e-05,1.2
367,2.5285,,9.13e-05,1.25
368,2.2919,,9.12e-05,1.11
369,2.443,,9.12e-05,1.12
370,2.0998,,9.11e-05,1.13
371,2.6257,,9.10e-05,1.13
372,2.3876,,9.10e-05,1.14
373,2.1293,,9.09e-05,1.11
374,1.9448,,9.08e-05,1.14
375,2.8077,,9.08e-05,1.19
376,3.198,,9.07e-05,1.15
377,2.3674,,9.06e-05,1.16
378,2.2957,,9.06e-05,1.13
379,2.2741,,9.05e-05,1.15
380,2.223,,9.05e-05,1.18
381,2.6425,,9.04e-05,1.33
382,1.9918,,9.03e-05,1.26
383,2.1684,,9.03e-05,1.12
384,2.1226,,9.02e-05,1.24
385,2.6693,,9.01e-05,1.21
386,2.0826,,9.01e-05,1.29
387,2.3681,,9.00e-05,1.33
388,2.601,,8.99e-05,1.31
389,2.3936,,8.98e-05,1.34
390,2.3686,,8.98e-05,1.22
391,2.2886,,8.97e-05,1.26
392,2.6176,,8.96e-05,1.19
393,1.6327,,8.96e-05,1.29
394,2.5878,,8.95e-05,1.32
395,1.9802,,8.94e-05,1.22
396,2.1831,,8.94e-05,1.2
397,1.6605,,8.93e-05,1.39
398,2.324,,8.92e-05,1.41
399,2.3504,,8.92e-05,1.3
400,2.6033,,8.91e-05,1.12
401,2.2525,,8.90e-05,1.37
402,2.5141,,8.90e-05,1.2
403,2.1131,,8.89e-05,1.1
404,2.6646,,8.88e-05,1.13
405,2.7414,,8.87e-05,1.14
406,2.482,,8.87e-05,1.14
407,2.8889,,8.86e-05,1.14
408,2.5352,,8.85e-05,1.13
409,2.4575,,8.85e-05,1.12
410,2.341,,8.84e-05,1.12
411,2.5413,,8.83e-05,1.13
412,2.3777,,8.82e-05,1.14
413,2.2763,,8.82e-05,1.13
414,2.2775,,8.81e-05,1.18
415,2.3657,,8.80e-05,1.12
416,2.2539,,8.79e-05,1.13
417,2.3165,,8.79e-05,1.15
418,2.6355,,8.78e-05,1.15
419,2.1405,,8.77e-05,1.15
420,2.637,,8.77e-05,1.14
421,2.3463,,8.76e-05,1.13
422,2.9799,,8.75e-05,1.15
423,2.5615,,8.74e-05,1.16
424,2.7712,,8.74e-05,1.14
425,2.9651,,8.73e-05,1.14
426,2.217,,8.72e-05,1.13
427,1.7096,,8.71e-05,1.14
428,1.9269,,8.71e-05,1.12
429,2.1194,,8.70e-05,1.14
430,2.0922,,8.69e-05,1.18
431,2.6402,,8.68e-05,1.14
432,2.2275,,8.68e-05,1.17
433,2.0472,,8.67e-05,1.14
434,2.4205,,8.66e-05,1.13
435,2.502,,8.65e-05,1.12
436,2.6506,,8.64e-05,1.11
437,2.7658,,8.64e-05,1.14
438,2.2597,,8.63e-05,1.12
439,2.3927,,8.62e-05,1.13
440,2.1055,,8.61e-05,1.18
441,3.1939,,8.61e-05,1.16
442,2.2753,,8.60e-05,1.16
443,3.417,,8.59e-05,1.18
444,1.8995,,8.58e-05,1.15
445,2.1746,,8.57e-05,1.15
446,2.2612,,8.57e-05,1.13
447,2.0372,,8.56e-05,1.19
448,2.9859,,8.55e-05,1.16
449,3.0159,,8.54e-05,1.17
450,2.3504,,8.54e-05,1.18
451,2.1056,,8.53e-05,1.15
452,2.6231,,8.52e-05,1.17
453,2.3978,,8.51e-05,1.13
454,2.3113,,8.50e-05,1.1
455,1.7937,,8.50e-05,1.11
456,2.6036,,8.49e-05,1.11
457,2.2462,,8.48e-05,1.13
458,1.9929,,8.47e-05,1.11
459,2.1021,,8.46e-05,1.11
460,2.2685,,8.46e-05,1.12
461,2.6885,,8.45e-05,1.11
