step,train_loss,val_loss,lr,sec_per_step
229,4.7062,,9.95e-05,1.13
230,4.677,,9.95e-05,1.19
231,4.6241,,9.95e-05,1.19
232,4.3875,,9.95e-05,1.22
233,4.4614,,9.95e-05,1.14
234,4.5366,,9.95e-05,1.18
235,4.7145,,9.95e-05,1.12
236,4.6246,,9.95e-05,1.14
237,4.8621,,9.95e-05,1.17
238,4.5164,,9.94e-05,1.18
239,4.8793,,9.94e-05,1.14
240,4.3844,,9.94e-05,1.11
241,4.606,,9.94e-05,1.09
242,4.2723,,9.94e-05,1.11
243,4.681,,9.94e-05,1.2
244,4.7893,,9.94e-05,1.3
245,4.7105,,9.94e-05,1.1
246,4.5222,,9.94e-05,1.07
247,4.4959,,9.94e-05,1.09
248,4.7633,,9.94e-05,1.09
249,4.671,,9.94e-05,1.09
250,4.4145,,9.93e-05,1.1
250,,4.5804,9.93e-05,
251,4.4464,,9.93e-05,1.08
252,4.5265,,9.93e-05,1.11
253,4.9037,,9.93e-05,1.16
254,4.6264,,9.93e-05,1.22
255,4.8602,,9.93e-05,1.14
256,4.6504,,9.93e-05,1.08
257,4.6115,,9.93e-05,1.11
258,4.5968,,9.93e-05,1.14
259,4.5802,,9.93e-05,1.27
260,4.6195,,9.93e-05,1.18
261,4.7513,,9.92e-05,1.2
262,4.8043,,9.92e-05,1.12
263,4.5083,,9.92e-05,1.18
264,4.8059,,9.92e-05,1.1
265,4.3475,,9.92e-05,1.16
266,4.5588,,9.92e-05,1.14
267,4.4758,,9.92e-05,1.14
268,4.5469,,9.92e-05,1.12
269,4.5702,,9.92e-05,1.13
270,4.5282,,9.92e-05,1.12
271,4.6238,,9.91e-05,1.11
272,4.3797,,9.91e-05,1.15
273,4.9417,,9.91e-05,1.14
274,4.6211,,9.91e-05,1.11
275,4.5424,,9.91e-05,1.12
276,4.1621,,9.91e-05,1.1
277,4.5986,,9.91e-05,1.13
278,4.6136,,9.91e-05,1.13
279,4.6074,,9.91e-05,1.12
280,4.5389,,9.91e-05,1.11
281,4.706,,9.90e-05,1.12
282,4.0977,,9.90e-05,1.09
283,4.4207,,9.90e-05,1.1
284,4.6638,,9.90e-05,1.09
285,4.2308,,9.90e-05,1.09
286,4.6082,,9.90e-05,1.07
287,4.6089,,9.90e-05,1.08
288,4.1485,,9.90e-05,1.1
289,4.8566,,9.90e-05,1.08
290,4.5849,,9.89e-05,1.13
291,4.4008,,9.89e-05,1.09
292,4.9714,,9.89e-05,1.06
293,4.7447,,9.89e-05,1.11
294,4.8919,,9.89e-05,1.08
295,4.4962,,9.89e-05,1.08
296,4.6464,,9.89e-05,1.09
297,4.3115,,9.89e-05,1.08
298,5.0932,,9.89e-05,1.1
299,4.5384,,9.88e-05,1.07
300,4.566,,9.88e-05,1.1
301,4.6341,,9.88e-05,1.1
302,4.3875,,9.88e-05,1.11
303,4.8992,,9.88e-05,1.12
304,4.7591,,9.88e-05,1.09
305,4.5031,,9.88e-05,1.1
306,4.6698,,9.88e-05,1.11
307,4.5441,,9.87e-05,1.16
308,5.3258,,9.87e-05,1.27
309,4.5331,,9.87e-05,1.2
310,4.6648,,9.87e-05,1.13
311,4.4605,,9.87e-05,1.22
312,4.7735,,9.87e-05,1.19
313,4.686,,9.87e-05,1.18
314,5.1162,,9.87e-05,1.15
315,4.5088,,9.86e-05,1.19
316,4.913,,9.86e-05,1.14
317,4.5309,,9.86e-05,1.15
318,4.6773,,9.86e-05,1.15
319,4.63,,9.86e-05,1.18
320,4.7356,,9.86e-05,1.24
321,4.7181,,9.86e-05,1.17
322,4.3395,,9.86e-05,1.24
323,4.7954,,9.85e-05,1.19
324,5.0414,,9.85e-05,1.18
325,4.4577,,9.85e-05,1.2
326,4.8037,,9.85e-05,1.1
327,4.9245,,9.85e-05,1.12
328,5.0577,,9.85e-05,1.17
329,4.5496,,9.85e-05,1.14
330,4.4349,,9.85e-05,1.14
331,4.769,,9.84e-05,1.24
332,4.6873,,9.84e-05,1.21
333,4.8179,,9.84e-05,1.09
334,4.4967,,9.84e-05,1.08
335,4.7615,,9.84e-05,1.1
336,4.6919,,9.84e-05,1.12
337,4.6509,,9.84e-05,1.16
338,4.5935,,9.83e-05,1.25
339,4.8719,,9.83e-05,1.13
340,4.2786,,9.83e-05,1.08
341,4.8518,,9.83e-05,1.12
342,4.4421,,9.83e-05,1.1
343,4.9472,,9.83e-05,1.14
344,4.8517,,9.83e-05,1.11
345,4.6299,,9.82e-05,1.1
346,4.6049,,9.82e-05,1.13
347,4.5796,,9.82e-05,1.11
348,4.869,,9.82e-05,1.13
349,4.7118,,9.82e-05,1.12
350,4.3801,,9.82e-05,1.08
351,4.3292,,9.82e-05,1.1
352,4.6335,,9.81e-05,1.11
353,4.7776,,9.81e-05,1.13
354,4.6918,,9.81e-05,1.12
355,4.4646,,9.81e-05,1.1
356,4.5521,,9.81e-05,1.13
357,4.7748,,9.81e-05,1.14
358,4.7788,,9.81e-05,1.18
359,4.3556,,9.80e-05,1.27
360,4.4743,,9.80e-05,1.17
361,4.6605,,9.80e-05,1.14
362,4.8238,,9.80e-05,1.21
363,4.4631,,9.80e-05,1.13
364,4.4967,,9.80e-05,1.09
365,4.599,,9.80e-05,1.1
366,4.531,,9.79e-05,1.11
367,4.8369,,9.79e-05,1.11
368,4.5357,,9.79e-05,1.12
369,4.8423,,9.79e-05,1.14
370,4.2432,,9.79e-05,1.1
371,4.515,,9.79e-05,1.12
372,4.7185,,9.78e-05,1.13
373,4.8396,,9.78e-05,1.12
374,4.6154,,9.78e-05,1.1
375,4.5098,,9.78e-05,1.11
376,4.7384,,9.78e-05,1.1
377,4.4165,,9.78e-05,1.13
378,4.782,,9.77e-05,1.26
379,4.2406,,9.77e-05,1.15
380,4.3259,,9.77e-05,1.17
381,4.403,,9.77e-05,1.14
382,4.5665,,9.77e-05,1.13
383,4.6982,,9.77e-05,1.19
384,4.916,,9.77e-05,1.13
385,4.5463,,9.76e-05,1.17
386,4.6332,,9.76e-05,1.15
387,4.7019,,9.76e-05,1.22
388,4.5304,,9.76e-05,1.24
389,4.807,,9.76e-05,1.24
390,4.3299,,9.76e-05,1.16
391,4.4354,,9.75e-05,1.13
392,4.9067,,9.75e-05,1.12
393,4.8113,,9.75e-05,1.15
394,4.9242,,9.75e-05,1.12
395,4.5206,,9.75e-05,1.17
396,4.4639,,9.75e-05,1.13
397,4.5716,,9.74e-05,1.17
398,4.4683,,9.74e-05,1.15
399,4.6571,,9.74e-05,1.14
400,4.7324,,9.74e-05,1.2
401,4.5806,,9.74e-05,1.11
402,4.7349,,9.73e-05,1.14
403,4.5217,,9.73e-05,1.16
404,4.8057,,9.73e-05,1.11
405,4.826,,9.73e-05,1.11
406,4.4478,,9.73e-05,1.16
407,4.8816,,9.73e-05,1.11
408,4.3721,,9.72e-05,1.13
409,4.6478,,9.72e-05,1.14
410,4.5527,,9.72e-05,1.15
411,4.6307,,9.72e-05,1.14
412,4.6415,,9.72e-05,1.14
413,4.5364,,9.72e-05,1.14
414,4.6482,,9.71e-05,1.11
415,4.4814,,9.71e-05,1.19
416,4.7479,,9.71e-05,1.11
417,4.683,,9.71e-05,1.14
418,4.875,,9.71e-05,1.16
419,4.6315,,9.70e-05,1.21
420,5.1877,,9.70e-05,1.14
421,4.4628,,9.70e-05,1.21
422,5.0115,,9.70e-05,1.13
423,4.4847,,9.70e-05,1.13
424,4.6512,,9.70e-05,1.13
425,4.5578,,9.69e-05,1.15
426,4.6597,,9.69e-05,1.1
427,4.6698,,9.69e-05,1.13
428,4.5915,,9.69e-05,1.15
429,4.5038,,9.69e-05,1.13
430,4.6236,,9.68e-05,1.17
431,4.7314,,9.68e-05,1.11
432,4.7073,,9.68e-05,1.14
433,4.693,,9.68e-05,1.14
434,4.5883,,9.68e-05,1.11
435,4.5138,,9.67e-05,1.12
436,4.6343,,9.67e-05,1.12
437,4.3421,,9.67e-05,1.12
438,4.5843,,9.67e-05,1.14
439,4.7356,,9.67e-05,1.12
440,4.7612,,9.66e-05,1.12
441,4.6988,,9.66e-05,1.14
442,4.7516,,9.66e-05,1.14
443,4.5873,,9.66e-05,1.13
444,4.7982,,9.66e-05,1.13
445,4.7116,,9.65e-05,1.13
446,4.6436,,9.65e-05,1.14
447,4.7307,,9.65e-05,1.13
448,4.5581,,9.65e-05,1.16
449,4.6888,,9.65e-05,1.13
450,4.6282,,9.64e-05,1.14
451,4.6834,,9.64e-05,1.21
452,4.6183,,9.64e-05,1.13
