step,train_loss,val_loss,lr,sec_per_step
168,4.4748,,9.94e-05,1.0
169,4.3714,,9.94e-05,1.03
170,4.5929,,9.94e-05,1.02
171,4.4929,,9.94e-05,1.01
172,4.5568,,9.93e-05,1.01
173,4.5337,,9.93e-05,1.01
174,4.4441,,9.93e-05,1.01
175,4.5543,,9.93e-05,1.03
176,4.3593,,9.93e-05,1.02
177,4.2956,,9.93e-05,1.02
178,4.6539,,9.92e-05,1.01
179,4.617,,9.92e-05,1.0
180,4.531,,9.92e-05,1.01
181,4.2237,,9.92e-05,1.02
182,4.4827,,9.92e-05,1.02
183,4.5233,,9.91e-05,1.01
184,4.4148,,9.91e-05,1.01
185,4.5633,,9.91e-05,1.0
186,4.5679,,9.91e-05,1.01
187,4.4773,,9.91e-05,1.03
188,4.6092,,9.90e-05,1.01
189,4.6337,,9.90e-05,1.0
190,4.3318,,9.90e-05,1.04
191,4.7758,,9.90e-05,1.03
192,4.4495,,9.89e-05,1.03
193,4.5695,,9.89e-05,1.02
194,4.5363,,9.89e-05,1.03
195,4.3568,,9.89e-05,1.0
196,4.6046,,9.88e-05,1.01
197,4.43,,9.88e-05,1.01
198,4.6046,,9.88e-05,1.03
199,4.523,,9.88e-05,1.03
200,4.5472,,9.87e-05,1.01
201,4.5925,,9.87e-05,1.01
202,4.5521,,9.87e-05,1.04
203,4.6342,,9.87e-05,1.01
204,4.378,,9.86e-05,1.0
205,4.1268,,9.86e-05,1.01
206,4.6645,,9.86e-05,1.01
207,4.517,,9.86e-05,1.06
208,4.576,,9.85e-05,1.04
209,4.6984,,9.85e-05,1.01
210,4.4373,,9.85e-05,1.01
211,4.3585,,9.85e-05,1.04
212,4.5586,,9.84e-05,1.03
213,4.3913,,9.84e-05,1.01
214,4.465,,9.84e-05,1.0
215,4.3478,,9.83e-05,1.01
216,4.7043,,9.83e-05,1.01
217,4.3813,,9.83e-05,1.03
218,4.5649,,9.83e-05,1.01
219,4.446,,9.82e-05,1.0
220,4.2891,,9.82e-05,1.01
221,4.4382,,9.82e-05,1.01
222,4.5403,,9.81e-05,1.01
223,4.2713,,9.81e-05,1.02
224,4.5961,,9.81e-05,1.01
225,4.3715,,9.80e-05,1.01
226,4.6478,,9.80e-05,1.0
227,4.2836,,9.80e-05,1.01
228,4.536,,9.80e-05,1.01
229,4.5124,,9.79e-05,1.04
230,4.5335,,9.79e-05,1.02
231,4.4161,,9.79e-05,1.01
232,4.2545,,9.78e-05,1.03
233,4.2838,,9.78e-05,1.01
234,4.6872,,9.78e-05,1.01
235,4.5842,,9.77e-05,1.04
236,4.4469,,9.77e-05,1.02
237,4.6019,,9.77e-05,1.02
238,4.4651,,9.76e-05,1.01
239,4.7709,,9.76e-05,1.01
240,4.2146,,9.76e-05,1.03
241,4.4564,,9.75e-05,1.01
242,4.3434,,9.75e-05,1.04
243,4.6605,,9.74e-05,1.01
244,4.6113,,9.74e-05,1.02
245,4.5396,,9.74e-05,1.03
246,4.3887,,9.73e-05,1.03
247,4.7525,,9.73e-05,1.03
248,4.7079,,9.73e-05,1.01
249,4.5106,,9.72e-05,1.01
250,4.3908,,9.72e-05,1.01
250,,4.4218,9.72e-05,
251,4.2092,,9.72e-05,0.99
252,4.3915,,9.71e-05,1.0
253,4.684,,9.71e-05,1.02
254,4.6348,,9.70e-05,1.01
255,4.6355,,9.70e-05,1.02
256,4.5789,,9.70e-05,1.01
257,4.4313,,9.69e-05,1.04
258,4.4131,,9.69e-05,1.03
259,4.424,,9.69e-05,1.0
260,4.4178,,9.68e-05,1.01
261,4.7311,,9.68e-05,1.01
262,4.59,,9.67e-05,1.01
263,4.4675,,9.67e-05,1.02
264,4.6334,,9.67e-05,1.02
265,4.0778,,9.66e-05,1.03
266,4.3749,,9.66e-05,1.03
267,4.3969,,9.65e-05,1.02
268,4.3721,,9.65e-05,1.02
269,4.4667,,9.64e-05,1.01
270,4.5067,,9.64e-05,1.04
271,4.4486,,9.64e-05,1.03
272,4.3728,,9.63e-05,1.03
273,4.9455,,9.63e-05,1.01
274,4.4361,,9.62e-05,1.03
275,4.568,,9.62e-05,1.03
276,3.8792,,9.62e-05,1.02
277,4.3897,,9.61e-05,1.03
278,4.5216,,9.61e-05,1.02
279,4.6528,,9.60e-05,1.01
280,4.2781,,9.60e-05,1.04
281,4.5951,,9.59e-05,1.03
282,4.5057,,9.59e-05,1.02
283,4.3323,,9.58e-05,1.02
284,4.5376,,9.58e-05,1.01
285,4.1363,,9.58e-05,1.01
286,4.4813,,9.57e-05,1.02
287,4.596,,9.57e-05,1.01
288,4.1247,,9.56e-05,1.02
289,4.6425,,9.56e-05,1.02
290,4.4665,,9.55e-05,1.01
291,4.5802,,9.55e-05,1.04
292,5.1298,,9.54e-05,1.02
293,4.5501,,9.54e-05,1.02
294,4.7738,,9.53e-05,1.03
295,4.3338,,9.53e-05,1.03
296,4.6314,,9.52e-05,1.02
297,4.211,,9.52e-05,1.01
298,4.8456,,9.51e-05,1.02
299,4.6118,,9.51e-05,1.01
300,4.5157,,9.50e-05,1.01
301,4.6077,,9.50e-05,1.02
302,4.2802,,9.50e-05,1.01
303,4.6652,,9.49e-05,1.02
304,4.6738,,9.49e-05,1.01
305,4.357,,9.48e-05,1.01
306,4.5636,,9.48e-05,1.01
307,4.4179,,9.47e-05,1.01
308,5.0043,,9.47e-05,1.02
309,4.351,,9.46e-05,1.01
310,4.4258,,9.46e-05,1.05
311,4.4874,,9.45e-05,1.02
312,4.617,,9.44e-05,1.03
313,4.5117,,9.44e-05,1.04
314,4.8871,,9.43e-05,1.02
315,4.3041,,9.43e-05,1.03
316,4.7464,,9.42e-05,1.02
317,4.4408,,9.42e-05,1.0
318,4.5299,,9.41e-05,1.03
319,4.4931,,9.41e-05,1.02
320,4.5378,,9.40e-05,1.03
321,4.585,,9.40e-05,1.03
322,4.2598,,9.39e-05,1.01
