step,train_loss,val_loss,lr,sec_per_step,mps_driver_gb
137,4.0998,,5.00e-05,10.37,11.23
138,4.1554,,5.00e-05,10.26,11.23
139,4.1362,,5.00e-05,10.22,11.23
140,3.7435,,5.00e-05,10.23,11.23
141,3.5819,,5.00e-05,10.25,11.23
142,4.1179,,5.00e-05,10.26,11.23
143,4.1995,,5.00e-05,10.24,11.23
144,4.5147,,5.00e-05,10.24,11.23
145,4.0711,,5.00e-05,10.24,11.23
146,3.8519,,5.00e-05,10.24,11.23
147,4.4248,,5.00e-05,10.24,11.23
148,3.2656,,5.00e-05,10.25,11.23
149,3.7625,,5.00e-05,10.28,11.23
150,4.564,,5.00e-05,10.43,11.23
151,3.3308,,5.00e-05,10.39,11.23
152,4.6803,,5.00e-05,10.43,11.23
153,4.1739,,5.00e-05,10.43,11.23
154,3.2116,,5.00e-05,10.43,11.23
155,4.7074,,5.00e-05,10.43,11.23
156,4.0285,,5.00e-05,10.45,11.23
157,4.561,,5.00e-05,10.44,11.23
158,3.6729,,5.00e-05,10.42,11.23
159,4.3353,,4.99e-05,10.37,11.23
160,4.6729,,4.99e-05,10.28,11.23
161,4.3772,,4.99e-05,10.28,11.23
162,4.3052,,4.99e-05,10.28,11.23
163,4.0242,,4.99e-05,10.29,11.23
164,3.5986,,4.99e-05,10.28,11.23
165,4.428,,4.99e-05,10.29,11.23
166,4.5317,,4.99e-05,10.31,11.23
167,4.2367,,4.99e-05,10.28,11.23
168,3.8263,,4.99e-05,10.31,11.23
169,4.5908,,4.99e-05,10.29,11.23
170,4.6539,,4.99e-05,10.28,11.23
171,4.1386,,4.99e-05,10.41,11.23
172,4.6472,,4.99e-05,10.48,11.23
173,4.2955,,4.99e-05,10.44,11.23
174,3.7485,,4.99e-05,10.44,11.23
175,4.2804,,4.99e-05,10.43,11.23
176,3.5844,,4.99e-05,10.45,11.23
177,4.3483,,4.99e-05,10.44,11.23
178,4.5174,,4.99e-05,10.52,11.23
179,3.8901,,4.99e-05,10.47,11.23
180,3.4547,,4.99e-05,10.3,11.23
181,4.6196,,4.99e-05,10.31,11.23
182,3.8322,,4.99e-05,10.31,11.23
183,4.0035,,4.99e-05,10.3,11.23
184,3.1581,,4.99e-05,10.28,11.23
185,4.0972,,4.99e-05,10.29,11.23
186,4.4424,,4.99e-05,10.3,11.23
187,4.463,,4.99e-05,10.3,11.23
188,3.3483,,4.99e-05,10.29,11.23
189,4.1408,,4.99e-05,10.28,11.23
190,4.2573,,4.99e-05,10.3,11.23
191,4.6597,,4.99e-05,10.4,11.23
192,4.4079,,4.99e-05,10.45,11.23
193,4.088,,4.99e-05,10.45,11.23
194,4.1035,,4.99e-05,10.46,11.23
195,3.9396,,4.99e-05,10.45,11.23
196,4.2586,,4.99e-05,10.44,11.23
197,2.8333,,4.99e-05,10.48,11.23
198,3.6144,,4.99e-05,10.46,11.23
199,4.0977,,4.99e-05,10.37,11.23
200,4.0177,,4.99e-05,10.3,11.23
201,4.4321,,4.99e-05,10.32,11.23
202,3.8725,,4.98e-05,10.32,11.23
203,4.583,,4.98e-05,10.3,11.23
204,4.189,,4.98e-05,10.29,11.23
205,3.5052,,4.98e-05,10.29,11.23
206,4.0899,,4.98e-05,10.3,11.23
207,4.7285,,4.98e-05,10.32,11.23
208,4.3035,,4.98e-05,10.31,11.23
209,3.8838,,4.98e-05,10.38,11.23
210,3.951,,4.98e-05,10.27,11.23
211,4.6301,,4.98e-05,10.44,11.23
212,3.7364,,4.98e-05,10.45,11.23
213,3.979,,4.98e-05,10.47,11.23
214,4.1964,,4.98e-05,10.47,11.23
215,2.8506,,4.98e-05,10.45,11.23
216,3.8735,,4.98e-05,10.46,11.23
217,3.7044,,4.98e-05,10.47,11.23
218,3.3741,,4.98e-05,10.47,11.23
219,4.3422,,4.98e-05,10.48,11.23
220,4.1534,,4.98e-05,10.42,11.23
221,3.9295,,4.98e-05,10.32,11.23
222,4.5346,,4.98e-05,10.31,11.23
223,3.8892,,4.98e-05,10.31,11.23
224,4.2214,,4.98e-05,10.35,11.23
225,4.0685,,4.98e-05,10.27,11.23
226,3.9775,,4.98e-05,10.34,11.23
227,4.4443,,4.98e-05,10.35,11.23
228,4.3846,,4.98e-05,10.32,11.23
229,4.4455,,4.98e-05,10.3,11.23
230,3.2974,,4.98e-05,10.33,11.23
231,4.0426,,4.97e-05,10.35,11.23
232,3.9268,,4.97e-05,10.49,11.23
233,4.3787,,4.97e-05,10.52,11.23
234,4.6627,,4.97e-05,10.55,11.23
235,4.5435,,4.97e-05,10.52,11.23
236,4.6284,,4.97e-05,10.56,11.23
237,4.0644,,4.97e-05,10.51,11.23
238,4.3951,,4.97e-05,10.48,11.23
239,4.6717,,4.97e-05,10.38,11.23
240,4.306,,4.97e-05,10.37,11.23
241,3.8529,,4.97e-05,10.34,11.23
242,3.364,,4.97e-05,10.35,11.23
243,4.0835,,4.97e-05,10.36,11.23
244,4.5103,,4.97e-05,10.37,11.23
245,4.4561,,4.97e-05,10.33,11.23
246,4.4323,,4.97e-05,10.37,11.23
247,4.7538,,4.97e-05,10.34,11.23
248,3.1533,,4.97e-05,10.34,11.23
249,3.7102,,4.97e-05,10.36,11.23
250,3.8228,,4.97e-05,10.47,11.23
250,,4.4105,4.97e-05,,9.18
251,4.2709,,4.97e-05,10.1,11.22
252,4.0887,,4.97e-05,10.26,11.22
253,3.78,,4.97e-05,10.35,11.22
254,4.0878,,4.97e-05,10.29,11.22
255,3.4976,,4.96e-05,10.12,11.22
256,3.7518,,4.96e-05,9.93,11.22
257,4.6108,,4.96e-05,9.94,11.22
258,3.8339,,4.96e-05,9.96,11.22
259,3.9524,,4.96e-05,10.07,11.22
260,4.3175,,4.96e-05,10.02,11.22
261,4.1635,,4.96e-05,10.22,11.22
262,3.5778,,4.96e-05,10.22,11.22
263,4.7161,,4.96e-05,10.28,11.22
264,4.0893,,4.96e-05,10.3,11.22
265,4.6668,,4.96e-05,10.35,11.22
266,4.2545,,4.96e-05,10.36,11.22
267,4.0573,,4.96e-05,10.38,11.22
268,4.2404,,4.96e-05,10.39,11.22
269,4.1621,,4.96e-05,10.37,11.22
270,4.2298,,4.96e-05,10.28,11.22
271,4.2126,,4.96e-05,10.3,11.22
272,3.8166,,4.96e-05,10.31,11.22
273,4.4567,,4.96e-05,10.27,11.22
274,4.4004,,4.96e-05,10.29,11.22
275,3.9115,,4.96e-05,10.3,11.22
276,4.5232,,4.95e-05,10.27,11.22
277,4.4866,,4.95e-05,10.31,11.22
278,4.1611,,4.95e-05,10.28,11.22
279,3.841,,4.95e-05,10.3,11.22
280,4.4638,,4.95e-05,10.31,11.22
281,3.1606,,4.95e-05,10.44,11.22
282,4.3378,,4.95e-05,10.47,11.22
283,4.1255,,4.95e-05,10.46,11.22
284,3.5819,,4.95e-05,10.47,11.22
285,4.3769,,4.95e-05,10.51,11.22
286,4.3092,,4.95e-05,10.49,11.22
287,4.1325,,4.95e-05,10.52,11.22
288,4.1628,,4.95e-05,10.51,11.22
289,4.1051,,4.95e-05,10.45,11.22
290,3.8772,,4.95e-05,10.37,11.22
291,4.134,,4.95e-05,10.33,11.22
292,3.9467,,4.95e-05,10.34,11.22
293,4.7934,,4.95e-05,10.38,11.22
294,4.497,,4.94e-05,10.61,11.22
295,3.8597,,4.94e-05,10.43,11.22
296,4.1036,,4.94e-05,10.35,11.22
297,3.8064,,4.94e-05,10.38,11.22
298,3.7237,,4.94e-05,10.38,11.22
299,3.801,,4.94e-05,10.45,11.22
