clip,n_notes,tonic,tuning_offset,western_key,pcs_raw,pcs_western,pcs_penta,penta_snapped_pct,penta_marked_pct,western_altered_pct,mean_confidence
e30f3b5e_seg032.wav,46,C#,11.8,C# major,0.8547,0.9844,0.8547,0.8478,0.1522,0.587,0.7376
e30f3b5e_seg033.wav,39,C#,1.9,C# major,0.8937,1.0,0.8937,0.8718,0.1282,0.5128,0.7723
e30f3b5e_seg034.wav,35,C#,-1.1,C# major,0.9822,1.0,0.9822,0.9714,0.0286,0.4286,0.8375
e30f3b5e_seg035.wav,43,C#,-1.0,C# major,0.7877,0.8894,0.7877,0.7674,0.2326,0.5116,0.7362
e30f3b5e_seg036.wav,54,C#,-31.5,C# major,0.9395,0.8811,0.9395,0.9444,0.0556,0.7778,0.8178
e30f3b5e_seg037.wav,39,G#,-32.0,G# major,0.9812,0.8927,0.9812,0.9744,0.0256,0.8205,0.8601
e30f3b5e_seg038.wav,45,G#,-33.3,G# major,0.8877,0.8586,0.8877,0.8667,0.1333,0.8222,0.7923
e30f3b5e_seg039.wav,45,G#,-26.8,G# major,0.9134,0.8128,0.9134,0.8889,0.1111,0.8,0.7567
e30f3b5e_seg040.wav,38,G#,-8.3,G# major,0.8918,0.8833,0.8918,0.8684,0.1316,0.6053,0.7807
e30f3b5e_seg041.wav,42,G#,-9.6,C# major,0.9437,0.9624,0.9437,0.9286,0.0714,0.5238,0.7891
e30f3b5e_seg042.wav,47,G#,-6.0,C# major,0.968,0.9852,0.968,0.9574,0.0426,0.4894,0.8051
e30f3b5e_seg043.wav,40,C#,-5.1,C# major,0.9842,1.0,0.9842,0.975,0.025,0.475,0.8137
e30f3b5e_seg044.wav,36,C#,7.9,C# major,0.8447,0.9622,0.8447,0.8611,0.1389,0.6111,0.7059
e30f3b5e_seg045.wav,35,G#,13.2,C# major,0.7327,0.9633,0.7327,0.7429,0.2571,0.5714,0.6418
e30f3b5e_seg046.wav,43,G#,1.4,C# major,0.8666,0.9848,0.8666,0.8372,0.1628,0.4651,0.7835
e30f3b5e_seg047.wav,51,G#,-2.9,C# major,0.8836,0.9503,0.8836,0.8627,0.1373,0.549,0.7651
e30f3b5e_seg048.wav,45,C#,-17.1,C# major,0.8863,0.9657,0.8863,0.8667,0.1333,0.6,0.7515
e30f3b5e_seg049.wav,39,C#,-30.2,C# major,0.8812,0.9824,0.8812,0.8462,0.1538,0.7692,0.7758
e30f3b5e_seg050.wav,43,C#,-32.7,C# major,0.8548,1.0,0.8548,0.8372,0.1628,0.7442,0.7396
e30f3b5e_seg051.wav,45,G#,-14.0,C# major,0.8961,1.0,0.8961,0.8889,0.1111,0.6222,0.7612
e30f3b5e_seg052.wav,35,G#,-1.2,C# major,0.8561,1.0,0.8561,0.8286,0.1714,0.6,0.7418
e30f3b5e_seg053.wav,38,C#,8.5,C# major,0.6939,0.9114,0.6939,0.6579,0.3421,0.5789,0.6348
e30f3b5e_seg054.wav,37,C,28.5,C# major,0.6091,0.1078,0.6091,0.6216,0.3784,0.7027,0.5822
e30f3b5e_seg055.wav,41,C#,-40.8,C# major,0.9673,0.9189,0.9673,0.9512,0.0488,0.8049,0.7852
e30f3b5e_seg056.wav,45,C#,-37.6,C# major,0.9474,0.8973,0.9474,0.9333,0.0667,0.8,0.7877
e30f3b5e_seg057.wav,51,C#,-39.7,C# major,0.9513,0.8991,0.9513,0.9412,0.0588,0.7451,0.7535
e30f3b5e_seg058.wav,60,C,43.9,G# major,0.7443,0.3068,0.7443,0.7333,0.2667,0.85,0.6959
e5501cc9_seg000.wav,23,E,-2.2,E major,0.9084,1.0,0.9084,0.913,0.087,0.2609,0.8663
e5501cc9_seg001.wav,18,E,-1.2,E major,0.853,0.853,0.853,0.8333,0.1667,0.3333,0.8223
e5501cc9_seg002.wav,17,E,17.3,E major,0.9567,1.0,0.9567,0.9412,0.0588,0.5882,0.8035
e5501cc9_seg003.wav,22,E,34.5,E major,0.966,0.966,0.966,0.9545,0.0455,0.7273,0.7683
e5501cc9_seg004.wav,20,F#,6.6,F# minor,0.797,1.0,0.797,0.8,0.2,0.55,0.7566
e5501cc9_seg005.wav,19,F#,25.0,E major,0.9617,0.9617,0.9617,0.9474,0.0526,0.6842,0.8025
e5501cc9_seg006.wav,29,E,34.5,E major,0.8897,0.9698,0.8897,0.8621,0.1379,0.8621,0.7929
e5501cc9_seg007.wav,27,E,25.3,E major,0.9098,1.0,0.9098,0.8889,0.1111,0.7037,0.7753
e5501cc9_seg008.wav,25,E,17.8,E major,0.9305,1.0,0.9305,0.92,0.08,0.6,0.8129
e5501cc9_seg009.wav,30,B,20.7,E major,0.8751,1.0,0.8751,0.8667,0.1333,0.6333,0.7779
e5501cc9_seg010.wav,22,E,28.0,C# minor,0.8747,1.0,0.8747,0.9091,0.0909,0.6818,0.8085
e5501cc9_seg011.wav,16,E,31.0,E major,1.0,0.9124,1.0,1.0,0.0,0.8125,0.9022
e5501cc9_seg012.wav,24,E,26.9,E major,1.0,0.9507,1.0,1.0,0.0,0.6667,0.798
e5501cc9_seg013.wav,24,E,27.3,E major,1.0,0.9725,1.0,1.0,0.0,0.7083,0.8082
e5501cc9_seg014.wav,19,F#,26.5,E major,0.8519,0.963,0.8519,0.8421,0.1579,0.8421,0.7819
e5501cc9_seg015.wav,26,E,32.8,E major,0.9677,0.8703,0.9677,0.9615,0.0385,0.7308,0.8182
e5501cc9_seg016.wav,23,F,-46.7,E major,0.7791,0.2183,0.7791,0.7826,0.2174,0.8261,0.7378
e5501cc9_seg017.wav,12,E,43.6,E minor,1.0,0.8394,1.0,1.0,0.0,1.0,0.8579
e5501cc9_seg018.wav,18,G#,29.7,E major,1.0,0.9497,1.0,1.0,0.0,0.7222,0.8355
e5501cc9_seg019.wav,20,E,38.0,F# minor,1.0,0.88,1.0,1.0,0.0,0.75,0.7978
e5501cc9_seg020.wav,18,F,-39.0,F minor,0.8535,0.6548,0.8535,0.8333,0.1667,0.8889,0.7685
e5501cc9_seg021.wav,35,E,35.3,C# minor,0.8623,1.0,0.8623,0.8286,0.1714,0.7714,0.7524
e5501cc9_seg022.wav,37,E,32.2,C# minor,0.897,1.0,0.897,0.8649,0.1351,0.8378,0.7894
e5501cc9_seg023.wav,37,E,33.3,C# minor,0.9815,0.9568,0.9815,0.973,0.027,0.8378,0.8601
e5501cc9_seg024.wav,45,E,34.9,E major,0.9123,0.9654,0.9123,0.8889,0.1111,0.8667,0.7915
e5501cc9_seg025.wav,34,C#,18.2,C# minor,0.9265,0.9795,0.9265,0.9118,0.0882,0.6765,0.7233
e5501cc9_seg026.wav,29,F#,29.7,F# major,0.9503,0.7069,0.9503,0.931,0.069,0.7586,0.8022
e5501cc9_seg027.wav,34,E,39.7,F# minor,0.9476,1.0,0.9476,0.9412,0.0588,0.9118,0.8073
e5501cc9_seg028.wav,25,C#,38.8,C# major,0.9272,0.5353,0.9272,0.92,0.08,0.88,0.7646
e5501cc9_seg029.wav,36,E,31.2,C# minor,0.9692,1.0,0.9692,0.9722,0.0278,0.7222,0.8066
e5501cc9_seg030.wav,35,E,33.5,C# minor,0.9825,0.9753,0.9825,0.9714,0.0286,0.8571,0.8515
e5501cc9_seg031.wav,31,C#,34.4,C# minor,0.9516,0.9404,0.9516,0.9355,0.0645,0.871,0.8021
e5501cc9_seg032.wav,34,E,48.0,C# minor,0.9535,0.9466,0.9535,0.9412,0.0588,0.8824,0.7518
e5501cc9_seg033.wav,38,E,36.9,C# minor,0.9815,0.9566,0.9815,0.9737,0.0263,0.8947,0.8351
